iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Min number of valids,Max number of valids,Avg number of valids,Min number of invalids,Max number of invalids,Avg number of invalids,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
25,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8003603013429414,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.98825837699951,0.04751369899895508,0.06550088294737004,0.15125729300052626
1,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9749426793318048,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.135615670000334,0.008618600000772858,0.010278439570181052,0.054050102000474
2,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9687192924991812,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.2478854170003615,0.008735800000067684,0.010089587570243901,0.014220698998542503
3,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9734687192924991,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.121361203000561,0.008630301999801304,0.009890535105162263,0.014519003001623787
4,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9638060923681624,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.357344451000245,0.008707902001333423,0.010428024710643257,0.018521202999181696
5,C,Y,None,0.8333333333333334,0.7954545454545454,0.9859154929577465,0.8805031446540881,0.9729773992793972,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.463759959999152,0.008660603998578154,0.010606820903408413,0.023499008999351645
6,C,Y,None,0.8508771929824561,0.813953488372093,0.9859154929577465,0.89171974522293,0.971830985915493,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.618226322998453,0.008742531999814673,0.010763616535114763,0.023290609000468976
7,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9708483458892893,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.533705847999954,0.008772099999987404,0.010856986771885428,0.022580200000447803
8,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9667540124467736,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.619168592000278,0.00872969999909401,0.010888487886069541,0.022374000000127126
9,C,Y,None,0.8596491228070176,0.8160919540229885,1.0,0.8987341772151899,0.9739600393056009,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.64641964600014,0.008837801999106887,0.01089349523676662,0.020650803999160416
10,C,Y,None,0.8421052631578947,0.8117647058823529,0.971830985915493,0.8846153846153846,0.9741238126433016,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.860105982999812,0.00871419900067849,0.011306139605295086,0.022506297998916125
11,C,Y,None,0.8333333333333334,0.7954545454545454,0.9859154929577465,0.8805031446540881,0.9667540124467737,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.847530273000302,0.008943700000600074,0.011200544982417788,0.020069698000952485
12,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9688830658368818,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.7616980469992995,0.009002300999782165,0.011089257280633447,0.02039450099982787
13,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9688830658368818,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,6.884547642999678,0.008980399999927613,0.013672057675425446,0.061539502999949036
14,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9708483458892893,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.724719551000817,0.008928682000259869,0.010822372070099829,0.01976716200078954
15,C,Y,None,0.8508771929824561,0.8068181818181818,1.0,0.8930817610062893,0.9711758925646904,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.5104504709997855,0.008800999001323362,0.010452765578951298,0.01894199900016247
16,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9759253193580085,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.498170520000713,0.008746199999222881,0.010597648868481389,0.015650700999685796
17,C,Y,None,0.8333333333333334,0.7954545454545454,0.9859154929577465,0.8805031446540881,0.9620045856534556,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.461677258999771,0.008731904001251678,0.010519273719374292,0.01761950699983572
18,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9819849328529315,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.619375450000007,0.00870260400006373,0.010799203956147514,0.01975590099937108
19,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9726498526039961,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.639333451999846,0.009116000001085922,0.010960764991291956,0.017640999998548068
20,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9683917458237798,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.665867812000215,0.008871399999407004,0.010886945394735162,0.021448502000566805
21,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9706845725515886,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.612541144999341,0.009000199999718461,0.01063717481577585,0.013620800998978666
22,C,Y,None,0.8421052631578947,0.8045977011494253,0.9859154929577465,0.8860759493670886,0.9767441860465116,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.4630767020007625,0.008795300000201678,0.010489282464875845,0.014442499999859137
23,C,Y,None,0.8508771929824561,0.813953488372093,0.9859154929577465,0.89171974522293,0.9687192924991811,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.630425626999568,0.008916799999497016,0.010849963236914686,0.020177399999738554
24,C,Y,None,0.8245614035087719,0.7931034482758621,0.971830985915493,0.8734177215189873,0.9737962659679005,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.48535372600054,0.008945400000811787,0.010511105298224209,0.017636000000493368
25,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9706845725515886,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,5.565752829999838,0.00897120000081486,0.010712603578962955,0.021563600999797927
1,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8806092368162464,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.111459006000587,0.039175100000647944,0.05002581407892361,0.3469693980005104
2,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8442515558467081,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.660787106999123,0.04019410000000789,0.04660117587710581,0.05683349900027679
3,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8388470357025876,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.628267920001235,0.039240199999767356,0.04630642987719687,0.059914600000411156
4,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8345889289223715,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.507474755000658,0.03913449999890872,0.04610318833335457,0.07004369899914309
5,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8219783819194236,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.47522014199967,0.03955800000039744,0.0458616845263398,0.14668470399919897
6,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8478545692761218,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.290439993999826,0.040593600999272894,0.04939176981572433,0.09828740100056166
7,C,Y,Basic,0.6403508771929824,0.6339285714285714,1.0,0.7759562841530054,0.8748771699967245,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.794494391000626,0.03983980100019835,0.04801735921930167,0.17333110200161173
8,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8503111693416312,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.731905927999833,0.03998240100008843,0.04733808573687463,0.09358330199938791
9,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8684900098264002,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.632290288998774,0.04020620000119379,0.04624992233334125,0.0633174999984476
10,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8476907959384212,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.892096051999033,0.04028040099910868,0.04757784492978732,0.07102819799911231
11,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8445791025221094,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.8250205559998,0.03994680100004189,0.04763549705254072,0.1268986009999935
12,C,Y,Basic,0.6403508771929824,0.6339285714285714,1.0,0.7759562841530054,0.8603013429413692,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.675450929000363,0.03949929699956556,0.04661117357007147,0.0731616960001702
13,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8214870619063216,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.693940142999054,0.04058219999933499,0.047067574693069776,0.13805419799973606
14,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8198493285293155,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.839577026999905,0.041289999999207794,0.04787706328076175,0.09287030000086816
15,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8760235833606289,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.115672714999164,0.0427257000010286,0.04921492568415456,0.08630960399932519
16,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8345889289223715,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.622176200000467,0.043119501999171916,0.0510693304385744,0.08602280199920642
17,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8488372093023256,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.345157506999385,0.04543310000008205,0.05085154969312275,0.19928690400047344
18,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8571896495250573,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,11.726990469998782,0.04527760000019043,0.05722510023685588,0.18493300099908083
19,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.80527350147396,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,11.057393652001338,0.0453562000002421,0.05428257919291418,0.19550200100093207
20,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8460530625614151,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.995238134999454,0.044098499998654006,0.04845870457898982,0.07128510100119456
21,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8591549295774649,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.984780335000323,0.0416780010000366,0.048853606315931664,0.09989780000069004
22,C,Y,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8449066491975106,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.07192442899941,0.0437898000000132,0.04955331070171572,0.19093230100043002
23,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.859482476252866,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.981804005999948,0.042545500000414904,0.048779240386019204,0.08750750000035623
24,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8075663282017688,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,9.680962182999792,0.04090549900138285,0.04723562626316523,0.08137819999865314
25,C,Y,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.853422862757943,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.04965823600105,0.04024480000043695,0.04903200015789416,0.131410001000404
1,C,Z,None,0.8947368421052632,0.8933333333333333,0.9436619718309859,0.9178082191780822,0.9649525057320668,128,128.0,128,4,40,21.75438596491228,88,124,106.24561403508773,2.0387781680001353,0.014635899999120738,0.01698701374561208,0.026628300998709165
2,C,Z,None,0.8947368421052632,0.8734177215189873,0.971830985915493,0.92,0.9490664919751065,128,128.0,128,3,40,21.5,88,125,106.5,2.0826754740010074,0.01462380099837901,0.017340156763167584,0.03150620100132073
3,C,Z,None,0.8947368421052632,0.8933333333333333,0.9436619718309859,0.9178082191780822,0.9620045856534556,128,128.0,128,3,128,22.640350877192983,0,125,105.35964912280701,1.9914490709998063,0.014591400999051984,0.016560315526173024,0.025955900999178994
4,C,Z,None,0.8947368421052632,0.8641975308641975,0.9859154929577465,0.9210526315789473,0.947101211922699,128,128.0,128,2,42,21.842105263157894,86,126,106.15789473684211,2.218022477998602,0.014324400999612408,0.0184684058859012,0.04807570200136979
5,C,Z,None,0.868421052631579,0.85,0.9577464788732394,0.9006622516556292,0.9446446118571896,128,128.0,128,1,43,21.45614035087719,85,127,106.54385964912281,2.1688821890002146,0.014864700999169145,0.01806886128068934,0.04807990299923404
6,C,Z,None,0.9035087719298246,0.9054054054054054,0.9436619718309859,0.9241379310344827,0.9724860792662955,128,128.0,128,1,39,21.37719298245614,89,127,106.62280701754386,2.1106166129993653,0.014271201000155997,0.01760486147363656,0.02588890100014396
7,C,Z,None,0.8596491228070176,0.8481012658227848,0.9436619718309859,0.8933333333333333,0.9534883720930233,128,128.0,128,2,39,21.67543859649123,89,126,106.32456140350877,1.9805823059996328,0.014468999999735388,0.016456200026225002,0.02260330099852581
8,C,Z,None,0.9122807017543859,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9462823452341959,128,128.0,128,1,43,21.614035087719298,85,127,106.3859649122807,2.076246111999353,0.014393400999324513,0.017310336043824225,0.043279802999677486
9,C,Z,None,0.8771929824561403,0.8701298701298701,0.9436619718309859,0.9054054054054054,0.9497215853259089,128,128.0,128,3,42,22.07894736842105,86,125,105.92105263157895,1.959286853998492,0.014487702001133584,0.01628101880701331,0.020138301000770298
10,C,Z,None,0.9122807017543859,0.9295774647887324,0.9295774647887324,0.9295774647887324,0.9554536521454308,128,128.0,128,4,44,22.359649122807017,84,124,105.64035087719299,1.9904129219994502,0.014363301999765099,0.016534296570107312,0.027671302999806358
11,C,Z,None,0.8859649122807017,0.881578947368421,0.9436619718309859,0.9115646258503401,0.9475925319358008,128,128.0,128,1,41,21.86842105263158,87,127,106.13157894736842,2.771752609000032,0.014389202000529622,0.023222196482477062,0.10088991100019484
12,C,Z,None,0.9210526315789473,0.8974358974358975,0.9859154929577465,0.9395973154362416,0.959711758925647,128,128.0,128,2,46,22.587719298245613,82,126,105.41228070175438,2.1056862349996663,0.014729202001035446,0.017491055456128123,0.04248850500152912
13,C,Z,None,0.9122807017543859,0.9066666666666666,0.9577464788732394,0.9315068493150684,0.9551261054700294,128,128.0,128,3,36,21.69298245614035,92,125,106.30701754385964,1.9475896680014557,0.014538302000801195,0.01619025401739412,0.01825180299965723
14,C,Z,None,0.9210526315789473,0.9078947368421053,0.971830985915493,0.9387755102040817,0.9420242384539796,128,128.0,128,3,42,21.94736842105263,86,125,106.05263157894737,1.965511278998747,0.014510302999042324,0.01633860056137979,0.028141804001279525
15,C,Z,None,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9659351457582706,128,128.0,128,2,43,22.95614035087719,85,126,105.04385964912281,2.1024873990008928,0.0143468030000804,0.017443829657854064,0.02612280399989686
16,C,Z,None,0.9122807017543859,0.9178082191780822,0.9436619718309859,0.9305555555555556,0.9598755322633474,128,128.0,128,3,40,21.912280701754387,88,125,106.08771929824562,1.9778709800011711,0.01438740199955646,0.01639280935959457,0.02058440299879294
17,C,Z,None,0.9298245614035088,0.92,0.971830985915493,0.9452054794520548,0.9621683589911563,128,128.0,128,5,45,22.219298245614034,83,123,105.78070175438596,1.9673263170006976,0.0145861649998551,0.016348236964851118,0.022507400000904454
18,C,Z,None,0.9122807017543859,0.8860759493670886,0.9859154929577465,0.9333333333333333,0.9613494923026531,128,128.0,128,1,128,22.587719298245613,0,127,105.41228070175438,2.0398224410000694,0.014553564999005175,0.016945327175467116,0.025813602000198443
